Location,Population,Average Commute (min),Median Home Value ($),Median Monthly Rent ($),Median Household Income ($),Coordinates
"Milwaukee, WI",573678,20,184097,831,51744,"[43.038307, -87.909267]"
"Gulfport, MS",74212,19,188052,797,47016,"[30.367420, -89.092816]"
"Reading, PA",98954,20,122341,838,44721,"[40.335345, -75.927949]"
"Providence, RI",196103,20,363592,1096,66415,"[41.824498, -71.413227]"
"Miami, FL",464669,25,496682,1527,64721,"[25.774173, -80.193620]"
"Visalia, CA",142321,18,343305,1055,80663,"[36.330228, -119.292058]"
"Modesto, CA",218028,20,441234,1275,79263,"[37.639097, -120.996878]"
"Youngstown, OH",60987,18,57603,573,35898,"[41.103579, -80.652016]"
"Minneapolis, MN",430779,20,361884,1220,80052,"[44.977300, -93.265469]"
"Bakersfield, CA",408014,20,353984,1052,79532,"[35.373871, -119.019464]"
"Worcester, MA",208439,20,350645,1142,67683,"[42.262562, -71.801888]"
"York, PA",47888,19,97686,806,45109,"[39.962462, -76.727707]"
"Memphis, TN",633533,20,226459,839,53366,"[35.145179, -90.051224]"
"Vallejo, CA",123583,30,582253,1798,87490,"[38.104086, -122.256637]"
"Fresno, CA",547634,19,370969,1091,68676,"[36.739442, -119.784831]"
"Flint, MI",85330,18,63097,616,36895,"[43.016169, -83.690021]"
"Birmingham, AL",205827,20,152231,784,47050,"[33.520682, -86.802433]"
"Springfield, MA",155487,18,236510,845,51493,"[42.101876, -72.588673]"
"Stockton, CA",320465,21,448299,1249,77856,"[37.957702, -121.290780]"
"Cleveland, OH",385883,20,118959,762,41583,"[41.499657, -81.693677]"
"Trenton, NJ",92523,21,129046,1123,48336,"[40.220148, -74.765757]"
"St. Louis, MO",282985,21,197774,750,56226,"[38.626312, -90.190338]"
"Baton Rouge, LA",224517,19,222741,839,50291,"[30.449058, -91.186729]"
"New Orleans, LA",366013,20,306358,915,51730,"[29.956169, -90.072887]"
"Detroit, MI",663149,22,101664,774,40745,"[42.331551, -83.046640]"
"New Haven, CT",138624,18,265793,1191,55961,"[41.309277, -72.925049]"
"Hartford, CT",127333,19,219624,1020,49263,"[41.764582, -72.690855]"
"San Juan, PR",342493,31,184536,683,33470,"[18.465299, -66.116666]"
